Cluster_ID,CH_ID,Node_ID,Distance_to_CH,Violation
0,85,85,0.0,No
1,44,2,59.9,No
1,44,8,76.98,No
1,44,14,58.94,No
1,44,44,0.0,No
2,6,6,0.0,No
2,6,7,60.01,No
2,6,13,45.17,No
2,6,43,48.45,No
3,0,0,0.0,No
3,0,1,72.21,No
3,0,36,48.78,No
3,0,42,50.26,No
4,86,86,0.0,No
4,86,116,53.89,No
5,73,73,0.0,No
5,73,74,44.09,No
5,73,79,53.23,No
5,73,80,53.97,No
5,73,110,28.44,No
5,73,115,72.19,No
6,72,37,60.63,No
6,72,72,0.0,No
6,72,78,71.26,No
7,38,38,0.0,No
8,146,146,0.0,No
9,109,108,55.9,No
9,109,109,0.0,No
9,109,114,65.71,No
9,109,144,72.83,No
9,109,145,52.19,No
10,77,77,0.0,No
11,112,112,0.0,No
11,112,113,40.64,No
11,112,148,66.65,No
12,118,118,0.0,No
13,76,75,69.29,No
13,76,76,0.0,No
13,76,82,40.14,No
13,76,111,59.3,No
13,76,117,68.33,No
14,147,147,0.0,No
15,81,81,0.0,No
15,81,87,40.84,No
16,88,88,0.0,No
16,88,94,16.2,No
17,123,122,34.71,No
17,123,123,0.0,No
17,123,124,61.13,No
18,83,83,0.0,No
18,83,89,56.5,No
18,83,119,42.81,No
19,131,125,48.54,No
19,131,131,0.0,No
20,149,149,0.0,No
21,17,16,55.31,No
21,17,17,0.0,No
21,17,53,51.89,No
22,52,46,83.21,No
22,52,51,49.34,No
22,52,52,0.0,No
23,9,3,61.86,No
23,9,4,64.23,No
23,9,9,0.0,No
23,9,39,62.97,No
23,9,45,46.05,No
24,15,15,0.0,No
25,10,10,0.0,No
26,5,5,0.0,No
27,41,11,81.94,No
27,41,40,44.0,No
27,41,41,0.0,No
27,41,47,72.48,No
28,129,93,42.01,No
28,129,129,0.0,No
28,129,130,59.31,No
28,129,135,51.69,No
28,129,136,57.79,No
29,99,99,0.0,No
29,99,100,28.29,No
29,99,105,57.49,No
29,99,106,54.34,No
29,99,141,57.93,No
30,142,137,82.42,No
30,142,142,0.0,No
30,142,143,75.88,No
31,27,21,64.42,No
31,27,27,0.0,No
32,63,63,0.0,No
33,33,33,0.0,No
34,34,34,0.0,No
34,34,69,60.42,No
35,22,22,0.0,No
35,22,58,73.18,No
36,28,28,0.0,No
37,95,59,37.99,No
37,95,65,49.13,No
37,95,95,0.0,No
37,95,101,33.07,No
38,70,64,56.83,No
38,70,70,0.0,No
38,70,107,44.91,No
39,71,35,60.86,No
39,71,71,0.0,No
40,29,23,50.4,No
40,29,29,0.0,No
41,68,32,31.03,No
41,68,68,0.0,No
42,104,62,49.39,No
42,104,104,0.0,No
43,67,61,51.45,No
43,67,67,0.0,No
43,67,97,47.28,No
43,67,102,47.21,No
43,67,103,33.64,No
44,54,54,0.0,No
45,66,24,62.45,No
45,66,30,53.06,No
45,66,31,63.14,No
45,66,60,57.45,No
45,66,66,0.0,No
46,25,25,0.0,No
47,20,20,0.0,No
47,20,26,71.49,No
47,20,57,64.67,No
48,49,49,0.0,No
48,49,50,53.48,No
48,49,55,47.17,No
48,49,56,47.97,No
49,18,12,49.14,No
49,18,18,0.0,No
49,18,19,44.45,No
50,48,48,0.0,No
51,120,84,38.39,No
51,120,120,0.0,No
51,120,121,63.6,No
51,120,126,53.5,No
52,132,90,46.04,No
52,132,96,64.64,No
52,132,132,0.0,No
52,132,138,60.91,No
53,133,91,79.39,No
53,133,92,63.72,No
53,133,98,47.79,No
53,133,127,42.21,No
53,133,133,0.0,No
54,128,128,0.0,No
55,139,139,0.0,No
56,134,134,0.0,No
57,140,140,0.0,No
